Grouping, Casino, Game, Day, Date, Time, Cost, Vig%, S-Points, Notes, 
Vegas 2018, Aria, No Limit Holdem , Wed, 6/27/2018, 11:00 AM,570,12.30%,92, 1C,
Vegas 2018, PH, No Limit Holdem , Wed, 6/27/2018, 11:00 AM,400,13.80%,70, #51: 6 Handed,
Vegas 2018, Rio, No Limit Holdem , Wed, 6/27/2018, 11:00 AM,1000,10%,115, #55: Tag Team,
Vegas 2018, Venetian, No Limit Holdem , Wed, 6/27/2018, 11:00 AM,400,11.80%,15, #95: Turbo Satellite,
Vegas 2018, Venetian, No Limit Holdem , Wed, 6/27/2018, 12:00 PM,3500,8.60%,154, #89-C,
Vegas 2018, Wynn, No Limit Holdem , Wed, 6/27/2018, 12:00 PM,1100,11%,94, #1-B,
Vegas 2018, Nugget, No Limit Holdem , Wed, 6/27/2018, 1:00 PM,150,26.70%,46, #65,
Vegas 2018, PH, No Limit Holdem , Wed, 6/27/2018, 6:00 PM,130,23.10%,36, #52: Ladies Survivor,
Vegas 2018, Venetian, No Limit Holdem , Wed, 6/27/2018, 6:05 PM,400,15%,65, #35: G,
Vegas 2018, Aria, No Limit Holdem , Wed, 6/27/2018, 7:00 PM,570,12.30%,46, 1D: Turbo,
Vegas 2018, Aria, No Limit Holdem , Thu, 6/28/2018, 11:00 AM,570,12.30%,92, 1E,
Vegas 2018, Nugget, No Limit Holdem , Thu, 6/28/2018, 11:00 AM,570,12.30%,94, #69-A,
Vegas 2018, Orleans, No Limit Holdem , Thu, 6/28/2018, 11:00 AM,150,20%,49, Bounty,
Vegas 2018, PH, No Limit Holdem , Thu, 6/28/2018, 11:00 AM,250,18%,65, #53-A,
Vegas 2018, Rio, No Limit Holdem , Thu, 6/28/2018, 11:00 AM,1000,10%,88, #57: Ladies,
Vegas 2018, Venetian, No Limit Holdem , Thu, 6/28/2018, 12:00 PM,1600,9.70%,102, #96: Bounty,
Vegas 2018, Wynn, No Limit Holdem , Thu, 6/28/2018, 12:00 PM,1100,11%,94, #1-C,
Vegas 2018, Nugget, No Limit Holdem , Thu, 6/28/2018, 1:00 PM,150,26.70%,46, #70,
Vegas 2018, PH, No Limit Holdem , Thu, 6/28/2018, 4:00 PM,250,18%,65, #53-B,
Vegas 2018, Venetian, No Limit Holdem , Thu, 6/28/2018, 7:05 PM,400,14.50%,32, #97: Bounty,
Vegas 2018, Aria, No Limit Holdem , Fri, 6/29/2018, 11:00 AM,570,12.30%,92, 1F,
Vegas 2018, Nugget, No Limit Holdem , Fri, 6/29/2018, 11:00 AM,570,12.30%,94, #69-B,
Vegas 2018, PH, No Limit Holdem , Fri, 6/29/2018, 11:00 AM,250,18%,65, #53-C,
Vegas 2018, Rio, No Limit Holdem , Fri, 6/29/2018, 11:00 AM,1000,10%,31, #59: Turbo Bounty,
Vegas 2018, Venetian, No Limit Holdem , Fri, 6/29/2018, 12:00 PM,1100,10.50%,77, #98,
Vegas 2018, Nugget, No Limit Holdem , Fri, 6/29/2018, 1:00 PM,150,26.70%,46, #72,
Vegas 2018, Rio, No Limit Holdem , Fri, 6/29/2018, 3:30 PM,1000,5%,65, #61: Online,
Vegas 2018, PH, No Limit Holdem , Fri, 6/29/2018, 4:00 PM,250,18%,65, #53-D,
Vegas 2018, PH, No Limit Holdem , Fri, 6/29/2018, 6:00 PM,250,12%,36, #54: Satellite,
Vegas 2018, Venetian, No Limit Holdem , Fri, 6/29/2018, 6:05 PM,400,15%,65, #35: H,
Vegas 2018, Rio, No Limit Holdem , Fri, 6/29/2018, 7:00 PM,365,17.80%,39, #6-E: Giant,
Vegas 2018, Orleans, No Limit Holdem , Fri, 6/29/2018, 7:05 PM,130,23.10%,31, ,
Vegas 2018, PH, No Limit Holdem , Sat, 6/30/2018, 10:00 AM,2200,9.10%,113, #55-A,
Vegas 2018, Rio, No Limit Holdem , Sat, 6/30/2018, 10:00 AM,888,10%,54, #62-A: 8 Handed,
Vegas 2018, Aria, No Limit Holdem , Sat, 6/30/2018, 11:00 AM,570,12.30%,92, 1G,
Vegas 2018, Nugget, No Limit Holdem , Sat, 6/30/2018, 11:00 AM,570,12.30%,94, #69-C,
Vegas 2018, PH, No Limit Holdem , Sat, 6/30/2018, 12:00 PM,330,9.10%,36, #56: Satellite,
Vegas 2018, Venetian, No Limit Holdem , Sat, 6/30/2018, 12:00 PM,600,15%,78, #99-A,
Vegas 2018, PH, No Limit Holdem , Sat, 6/30/2018, 3:00 PM,2200,9.10%,113, #55-B,
Vegas 2018, Rio, No Limit Holdem , Sat, 6/30/2018, 3:30 PM,3200,5%,60, #63: Online,
Vegas 2018, Rio, No Limit Holdem , Sat, 6/30/2018, 5:00 PM,888,10%,54, #62-B: 8 Handed,
Vegas 2018, Venetian, No Limit Holdem , Sat, 6/30/2018, 5:00 PM,600,15%,78, #99-B,
Vegas 2018, PH, No Limit Holdem , Sat, 6/30/2018, 6:00 PM,330,9.10%,36, #57: Satellite,
Vegas 2018, Venetian, No Limit Holdem , Sat, 6/30/2018, 10:00 PM,400,12.50%,17, #101: Turbo,
Vegas 2018, PH, No Limit Holdem , Sun, 7/1/2018, 10:00 AM,2200,9.10%,113, #55-C,
Vegas 2018, Rio, No Limit Holdem , Sun, 7/1/2018, 10:00 AM,888,10%,54, #62-C: 8 Handed,
Vegas 2018, Aria, No Limit Holdem , Sun, 7/1/2018, 11:00 AM,570,12.30%,46, 1H: Turbo,
Vegas 2018, Binions, No Limit Holdem , Sun, 7/1/2018, 11:00 AM,365,17.80%,81, ,
Vegas 2018, Venetian, No Limit Holdem , Sun, 7/1/2018, 12:00 PM,600,15%,78, #99-C,
Vegas 2018, Wynn, No Limit Holdem , Sun, 7/1/2018, 12:00 PM,550,12.70%,58, ,
Vegas 2018, Nugget, No Limit Holdem , Sun, 7/1/2018, 1:00 PM,150,26.70%,46, #77,
Vegas 2018, PH, No Limit Holdem , Sun, 7/1/2018, 3:00 PM,2200,9.10%,113, #55-D,
Vegas 2018, Rio, No Limit Holdem , Sun, 7/1/2018, 5:00 PM,888,10%,54, #62-D: 8 Handed,
Vegas 2018, Venetian, No Limit Holdem , Sun, 7/1/2018, 5:00 PM,600,15%,78, #99-D,
Vegas 2018, Aria, No Limit Holdem , Sun, 7/1/2018, 7:00 PM,570,12.30%,46, 1I: Turbo,
Vegas 2018, Nugget, No Limit Holdem , Sun, 7/1/2018, 7:00 PM,110,27.30%,28, ,
Vegas 2018, Nugget, No Limit Holdem , Mon, 7/2/2018, 11:00 AM,360,16.70%,65, #79: Bounty,
Vegas 2018, PH, No Limit Holdem , Mon, 7/2/2018, 11:00 AM,250,18%,67, #58-A,
Vegas 2018, Rio, No Limit Holdem , Mon, 7/2/2018, 11:00 AM,10000,6%,339, #65-A: Main Event,
Vegas 2018, Venetian, No Limit Holdem , Mon, 7/2/2018, 12:00 PM,600,15%,78, #99-E,
Vegas 2018, Wynn, No Limit Holdem , Mon, 7/2/2018, 12:00 PM,1100,10.10%,63, ,
Vegas 2018, Nugget, No Limit Holdem , Mon, 7/2/2018, 1:00 PM,150,26.70%,46, #80,
Vegas 2018, PH, No Limit Holdem , Mon, 7/2/2018, 4:00 PM,250,18%,67, #58-B,
Vegas 2018, Nugget, No Limit Holdem , Mon, 7/2/2018, 7:00 PM,110,27.30%,28, ,
Vegas 2018, Venetian, No Limit Holdem , Mon, 7/2/2018, 7:05 PM,1100,9.10%,30, #103: Turbo Bounty,
Vegas 2018, Aria, No Limit Holdem , Tue, 7/3/2018, 11:00 AM,300,83.30%,58, Ladies,
Vegas 2018, Nugget, No Limit Holdem , Tue, 7/3/2018, 11:00 AM,150,26.70%,37, #82: Turbo,
Vegas 2018, PH, No Limit Holdem , Tue, 7/3/2018, 11:00 AM,250,18%,67, #58-C,
Vegas 2018, Rio, No Limit Holdem , Tue, 7/3/2018, 11:00 AM,10000,6%,339, #65-B: Main Event,
Vegas 2018, Venetian, No Limit Holdem , Tue, 7/3/2018, 12:00 PM,600,13.70%,77, #104,
Vegas 2018, Wynn, No Limit Holdem , Tue, 7/3/2018, 12:00 PM,550,12.70%,58, ,
Vegas 2018, Nugget, No Limit Holdem , Tue, 7/3/2018, 1:00 PM,150,26.70%,46, #83,
Vegas 2018, PH, No Limit Holdem , Tue, 7/3/2018, 2:00 PM,600,13.30%,65, #59: Survivor,
Vegas 2018, PH, No Limit Holdem , Tue, 7/3/2018, 4:00 PM,250,18%,67, #58-D,
Vegas 2018, Aria, No Limit Holdem , Tue, 7/3/2018, 7:00 PM,240,18.80%,44, ,
Vegas 2018, Nugget, No Limit Holdem , Tue, 7/3/2018, 7:00 PM,110,27.30%,28, ,
Vegas 2018, Venetian, No Limit Holdem , Tue, 7/3/2018, 7:05 PM,600,13%,30, #106: Turbo,
Vegas 2018, Aria, No Limit Holdem , Wed, 7/4/2018, 11:00 AM,400,15%,63, ,
Vegas 2018, PH, No Limit Holdem , Wed, 7/4/2018, 11:00 AM,250,18%,67, #58-E,
Vegas 2018, Rio, No Limit Holdem , Wed, 7/4/2018, 11:00 AM,10000,6%,339, #65-C: Main Event,
Vegas 2018, Venetian, No Limit Holdem , Wed, 7/4/2018, 12:00 PM,600,13.70%,77, #107,
Vegas 2018, Wynn, No Limit Holdem , Wed, 7/4/2018, 12:00 PM,550,12.70%,58, ,
Vegas 2018, PH, No Limit Holdem , Wed, 7/4/2018, 4:00 PM,250,18%,67, #58-F,
Vegas 2018, Venetian, No Limit Holdem , Wed, 7/4/2018, 4:00 PM,300,16%,20, #108: Satellite,
Vegas 2018, Aria, No Limit Holdem , Wed, 7/4/2018, 7:00 PM,240,18.80%,44, ,
Vegas 2018, Venetian, No Limit Holdem , Wed, 7/4/2018, 7:05 PM,400,14.50%,32, #109: Bounty,
Vegas 2018, Aria, No Limit Holdem , Thu, 7/5/2018, 11:00 AM,400,15%,63, ,
Vegas 2018, Venetian, No Limit Holdem , Thu, 7/5/2018, 12:00 PM,1100,11.40%,92, #110-A,
Vegas 2018, Wynn, No Limit Holdem , Thu, 7/5/2018, 12:00 PM,550,12.70%,58, ,
Vegas 2018, Aria, No Limit Holdem , Thu, 7/5/2018, 7:00 PM,150,16.70%,40, Satellite,
Vegas 2018, Venetian, No Limit Holdem , Thu, 7/5/2018, 7:05 PM,600,13.30%,35, #112,
Vegas 2018, Aria, No Limit Holdem , Fri, 7/6/2018, 11:00 AM,1100,9.10%,108, ,
Vegas 2018, PH, No Limit Holdem , Fri, 7/6/2018, 12:00 PM,565,11.50%,65, #61: Survivor,
Vegas 2018, Venetian, No Limit Holdem , Fri, 7/6/2018, 12:00 PM,1100,11.40%,92, #110-B,
Vegas 2018, Wynn, No Limit Holdem , Fri, 7/6/2018, 12:00 PM,550,12.70%,58, ,
Vegas 2018, Venetian, No Limit Holdem , Fri, 7/6/2018, 7:05 PM,600,13.30%,35, #113: Bounty,
Vegas 2018, Aria, No Limit Holdem , Sat, 7/7/2018, 11:00 AM,400,15%,63, ,
Vegas 2018, Rio, No Limit Holdem , Sat, 7/7/2018, 11:00 AM,1111,19%,115, #68-A: One Drop,
Vegas 2018, PH, No Limit Holdem , Sat, 7/7/2018, 12:00 PM,100,25%,45, #62,
Vegas 2018, Wynn, No Limit Holdem , Sat, 7/7/2018, 12:00 PM,1100,10.10%,63, ,
Vegas 2018, Venetian, No Limit Holdem , Sat, 7/7/2018, 1:00 PM,600,14.50%,97, #114,
Vegas 2018, PH, No Limit Holdem , Sat, 7/7/2018, 3:00 PM,2200,9.10%,53, #63: Turbo,
Vegas 2018, Aria, No Limit Holdem , Sat, 7/7/2018, 7:00 PM,240,18.80%,44, ,
Vegas 2018, PH, No Limit Holdem , Sun, 7/8/2018, 10:00 AM,500,12%,65, #64: Seniors,
Vegas 2018, Aria, No Limit Holdem , Sun, 7/8/2018, 11:00 AM,400,15%,63, ,
Vegas 2018, PH, No Limit Holdem , Sun, 7/8/2018, 11:00 AM,100,25%,45, #65,
Vegas 2018, Rio, No Limit Holdem , Sun, 7/8/2018, 11:00 AM,1111,19%,115, #68-B: One Drop,
Vegas 2018, Wynn, No Limit Holdem , Sun, 7/8/2018, 11:00 AM,550,12.70%,60, Seniors,
Vegas 2018, Venetian, No Limit Holdem , Sun, 7/8/2018, 12:00 PM,600,13.70%,77, #115,
Vegas 2018, Aria, No Limit Holdem , Sun, 7/8/2018, 7:00 PM,240,18.80%,44, ,
Vegas 2018, Wynn, No Limit Holdem , Sun, 7/8/2018, 7:00 PM,265,17.40%,33, Satellite,
Vegas 2018, Venetian, No Limit Holdem , Sun, 7/8/2018, 7:05 PM,300,16%,20, #116: Satellite,
Vegas 2018, PH, No Limit Holdem , Mon, 7/9/2018, 11:00 AM,100,25%,45, #66,
Vegas 2018, Rio, No Limit Holdem , Mon, 7/9/2018, 11:00 AM,1111,19%,115, #68-C: One Drop,
Vegas 2018, Venetian, No Limit Holdem , Mon, 7/9/2018, 12:00 PM,1100,11.40%,92, #118-A,
Vegas 2018, Wynn, No Limit Holdem , Mon, 7/9/2018, 12:00 PM,1600,9.10%,121, #1-A,
Vegas 2018, Venetian, No Limit Holdem , Mon, 7/9/2018, 7:05 PM,300,16%,20, #119: Satellite,
Vegas 2018, PH, No Limit Holdem , Tue, 7/10/2018, 11:00 AM,250,18%,65, #68-A,
Vegas 2018, Rio, No Limit Holdem , Tue, 7/10/2018, 11:00 AM,5000,7%,77, #71: Turbo,
Vegas 2018, Venetian, No Limit Holdem , Tue, 7/10/2018, 12:00 PM,1100,11.40%,92, #118-B,
Vegas 2018, Wynn, No Limit Holdem , Tue, 7/10/2018, 12:00 PM,1600,9.10%,121, #1-B,
Vegas 2018, PH, No Limit Holdem , Tue, 7/10/2018, 4:00 PM,250,18%,65, #68-B,
Vegas 2018, PH, No Limit Holdem , Wed, 7/11/2018, 11:00 AM,250,18%,65, #68-C,
Vegas 2018, Rio, No Limit Holdem , Wed, 7/11/2018, 11:00 AM,1000,10%,58, #73: Turbo,
Vegas 2018, Wynn, No Limit Holdem , Wed, 7/11/2018, 12:00 PM,1600,9.10%,121, #1-C,
Vegas 2018, Venetian, No Limit Holdem , Wed, 7/11/2018, 1:00 PM,600,15%,78, #120,
Vegas 2018, Rio, No Limit Holdem , Wed, 7/11/2018, 3:00 PM,10000,6%,175, #74: 6 Handed,
Vegas 2018, Rio, No Limit Holdem , Thu, 7/12/2018, 11:00 AM,1500,10%,65, #75-A,
Vegas 2018, PH, No Limit Holdem , Thu, 7/12/2018, 12:00 PM,100,25%,45, #69,
Vegas 2018, Venetian, No Limit Holdem , Thu, 7/12/2018, 12:00 PM,600,13.70%,77, #121,
Vegas 2018, Venetian, No Limit Holdem , Thu, 7/12/2018, 7:05 PM,600,13.30%,35, #122: Survivor,
Vegas 2018, Rio, No Limit Holdem , Fri, 7/13/2018, 11:00 AM,1500,10%,65, #75-B,
Vegas 2018, Venetian, No Limit Holdem , Fri, 7/13/2018, 11:00 AM,600,14.50%,92, #123: Seniors,
Vegas 2018, PH, No Limit Holdem , Fri, 7/13/2018, 12:00 PM,100,25%,45, #71,
Vegas 2018, Wynn, No Limit Holdem , Fri, 7/13/2018, 12:00 PM,1100,10.10%,63, ,
Vegas 2018, Rio, No Limit Holdem , Fri, 7/13/2018, 3:00 PM,50000,4%,108, #77: High Roller,
Vegas 2018, Venetian, No Limit Holdem , Fri, 7/13/2018, 7:05 PM,600,12.50%,32, #124: Satellite,
Vegas 2018, Rio, No Limit Holdem , Sat, 7/14/2018, 11:00 AM,1500,10%,65, #75-C,
Vegas 2018, Venetian, No Limit Holdem , Sat, 7/14/2018, 11:00 AM,600,12.50%,32, #125: Satellite,
Vegas 2018, PH, No Limit Holdem , Sat, 7/14/2018, 12:00 PM,100,25%,50, #72,
Vegas 2018, Venetian, No Limit Holdem , Sat, 7/14/2018, 12:00 PM,5000,7.50%,192, #126-A,
Vegas 2018, Wynn, No Limit Holdem , Sat, 7/14/2018, 12:00 PM,1100,10.10%,63, ,
Vegas 2018, Venetian, No Limit Holdem , Sat, 7/14/2018, 7:05 PM,600,12.50%,32, #127: Satellite,
Vegas 2018, Rio, No Limit Holdem , Sun, 7/15/2018, 11:00 AM,1000000,3.30%,149, #78: One Drop,
Vegas 2018, PH, No Limit Holdem , Sun, 7/15/2018, 12:00 PM,100,25%,45, #73,
Vegas 2018, Venetian, No Limit Holdem , Sun, 7/15/2018, 12:00 PM,5000,7.50%,192, #126-B,
Vegas 2018, Wynn, No Limit Holdem , Sun, 7/15/2018, 12:00 PM,550,12.70%,58, ,
Vegas 2018, Venetian, No Limit Holdem , Sun, 7/15/2018, 7:05 PM,600,12.50%,32, #128: Satellite,
Vegas 2018, Wynn, No Limit Holdem , Mon, 7/16/2018, 12:00 PM,400,13.50%,60, ,
Vegas 2018, Venetian, No Limit Holdem , Mon, 7/16/2018, 7:05 PM,300,16.70%,32, #129: Bounty,
Vegas 2018, Venetian, No Limit Holdem , Tue, 7/17/2018, 12:00 PM,400,14.50%,45, #130,
Vegas 2018, Venetian, No Limit Holdem , Tue, 7/17/2018, 7:05 PM,300,17.70%,35, #131,
Vegas 2018, Venetian, No Limit Holdem , Wed, 7/18/2018, 12:00 PM,400,14.50%,45, #132,
Vegas 2018, Venetian, No Limit Holdem , Wed, 7/18/2018, 7:05 PM,300,16.70%,32, #133: Bounty,
Vegas 2018, Venetian, No Limit Holdem , Thu, 7/19/2018, 12:00 PM,600,14.50%,92, #134-A,
Vegas 2018, Venetian, No Limit Holdem , Thu, 7/19/2018, 7:05 PM,300,17.70%,35, #135,
Vegas 2018, Venetian, No Limit Holdem , Fri, 7/20/2018, 12:00 PM,600,14.50%,92, #134-B,
Vegas 2018, Venetian, No Limit Holdem , Fri, 7/20/2018, 7:05 PM,300,16.70%,32, #136: Bounty,
Vegas 2018, Venetian, No Limit Holdem , Sat, 7/21/2018, 12:00 PM,600,14.50%,92, #134-C,
Vegas 2018, Venetian, No Limit Holdem , Sat, 7/21/2018, 7:05 PM,300,16.70%,32, #137: Bounty,
Vegas 2018, Venetian, No Limit Holdem , Sun, 7/22/2018, 12:00 PM,300,16.70%,40, #138: Rebuy,
Vegas 2018, Venetian, No Limit Holdem , Sun, 7/22/2018, 7:05 PM,300,17.70%,35, #139,
Vegas 2018, Venetian, No Limit Holdem , Mon, 7/23/2018, 12:00 PM,400,14.50%,45, #140,
Vegas 2018, Venetian, No Limit Holdem , Mon, 7/23/2018, 7:05 PM,200,20%,32, #141: Bounty,
Vegas 2018, Venetian, No Limit Holdem , Tue, 7/24/2018, 12:00 PM,400,15%,65, #142-A,
Vegas 2018, Venetian, No Limit Holdem , Tue, 7/24/2018, 7:05 PM,200,20%,32, #143: Bounty,
Vegas 2018, Venetian, No Limit Holdem , Wed, 7/25/2018, 12:00 PM,400,15%,65, #142-B,
Vegas 2018, Venetian, No Limit Holdem , Wed, 7/25/2018, 7:05 PM,200,20%,32, #144: Rebuy,
Vegas 2018, Venetian, No Limit Holdem , Thu, 7/26/2018, 12:00 PM,400,15%,65, #142-C,
Vegas 2018, Venetian, No Limit Holdem , Thu, 7/26/2018, 7:05 PM,200,20%,32, #145,
Vegas 2018, Venetian, No Limit Holdem , Fri, 7/27/2018, 12:00 PM,400,15%,65, #142-D,
Vegas 2018, Venetian, No Limit Holdem , Fri, 7/27/2018, 7:05 PM,200,20%,32, #146: Rebuy,
Vegas 2018, Venetian, No Limit Holdem , Sat, 7/28/2018, 12:00 PM,400,15%,65, #142-E,
Vegas 2018, Venetian, No Limit Holdem , Sat, 7/28/2018, 7:05 PM,300,17.70%,35, #147,
Vegas 2018, Venetian, No Limit Holdem , Sun, 7/29/2018, 12:00 PM,300,16.70%,40, #148: Rebuy,
Vegas 2018, Venetian, No Limit Holdem , Sun, 7/29/2018, 7:05 PM,200,20%,32, #150: Bounty ,
